label_id	cell_id
0.0	0
1.0	0
2.0	22546
3.0	22546
4.0	22546
5.0	22881
6.0	22881
7.0	22880
8.0	22880
9.0	22880
10.0	22880
11.0	22880
12.0	22880
13.0	22880
14.0	22880
15.0	22880
16.0	22550
17.0	22550
18.0	22881
19.0	22881
20.0	22550
21.0	22546
22.0	22546
23.0	22546
24.0	22550
25.0	22550
26.0	22550
27.0	22550
28.0	22880
29.0	22880
30.0	22880
31.0	22880
32.0	22880
33.0	22881
34.0	22881
35.0	22880
36.0	22880
37.0	22880
38.0	22880
39.0	0
40.0	22881
41.0	22881
42.0	22881
43.0	22881
44.0	22885
45.0	22885
46.0	22885
47.0	22885
48.0	22885
49.0	22881
50.0	0
51.0	0
52.0	22885
53.0	22885
54.0	22885
55.0	22881
56.0	22885
57.0	22881
58.0	22885
59.0	22880
60.0	22885
61.0	22885
62.0	22885
63.0	22880
64.0	22881
65.0	0
66.0	22885
67.0	0
68.0	0
69.0	0
70.0	22874
71.0	22874
72.0	22885
73.0	22885
74.0	23670
75.0	23495
76.0	23495
77.0	23152
78.0	23495
79.0	23495
80.0	23495
81.0	23495
82.0	23495
83.0	23495
84.0	23495
85.0	23495
86.0	23495
87.0	23152
88.0	23495
89.0	23495
90.0	23495
91.0	23495
92.0	23495
93.0	23495
94.0	22874
95.0	23152
96.0	23152
97.0	23152
98.0	23152
99.0	23495
100.0	23495
101.0	23495
102.0	23670
103.0	23670
104.0	23670
105.0	23670
106.0	0
107.0	23670
108.0	23670
109.0	23670
110.0	23670
111.0	23670
112.0	23670
113.0	23670
114.0	23670
115.0	23670
116.0	23671
117.0	23671
118.0	23671
119.0	23671
120.0	23671
121.0	23671
122.0	23671
123.0	23151
124.0	23151
125.0	23151
126.0	23151
127.0	23152
128.0	23495
129.0	23670
130.0	23495
131.0	23670
132.0	22874
133.0	23151
134.0	0
135.0	0
136.0	0
137.0	23670
138.0	23151
139.0	23152
140.0	23671
141.0	23671
142.0	23671
143.0	23671
144.0	23671
145.0	23671
146.0	23671
147.0	23671
148.0	23671
149.0	23671
150.0	23671
151.0	0
152.0	0
153.0	0
154.0	0
155.0	0
156.0	0
157.0	23558
158.0	23558
159.0	0
160.0	0
161.0	0
162.0	23558
163.0	23558
164.0	23901
165.0	23901
166.0	23558
167.0	23901
168.0	23901
169.0	23558
170.0	23901
171.0	23558
172.0	25008
173.0	25008
174.0	25008
175.0	25008
176.0	25008
177.0	25008
178.0	22874
179.0	22880
180.0	22880
181.0	22880
182.0	23151
183.0	23901
184.0	25008
