label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	new_x	new_y	new_z
0.0	152.64971923828125	142.3116912841797	145.04344177246094	40.96	0.0	0.0	245.68	245.68	281.5	8745799449.0	18.138469	35.736531	228.705225
1.0	179.0399932861328	181.75999450683597	4.200000286102295	176.72	178.08	2.0	183.44	184.0	8.9	123583.0	26.922606	-98.683616	209.551147
2.0	180.63999938964844	137.75999450683594	12.600000381469727	178.4	135.04	7.6	186.72	141.12	18.0	110436.0	-5.202437	-79.809041	192.220939
3.0	195.3600006103516	144.63999938964844	9.199999809265137	189.52	142.56	5.5	197.68	147.68	12.3	108998.0	-8.390587	-89.097591	203.249611
4.0	173.9199981689453	161.1199951171875	13.199999809265135	169.52	158.16	10.2	176.64	163.76	15.7	124776.0	15.163745	-84.072742	199.290255
5.0	146.239990234375	188.1599884033203	19.80000114440918	143.36	183.12	14.6	150.48	190.96	24.9	195207.0	50.65408	-77.556673	197.537202
6.0	169.44000244140625	173.27999877929688	15.40000057220459	166.0	170.48	12.7	171.76	175.76	18.0	98576.0	26.629893	-84.260656	202.901164
7.0	201.75999450683597	172.0	12.600000381469727	199.28	170.96	10.3	204.4	174.08	18.0	61417.0	6.923598	-95.253086	223.02322
8.0	168.0	206.55999755859372	20.0	162.16	204.48	14.7	170.72	210.0	23.5	221668.0	51.542762	-89.180408	221.414409
9.0	197.9199981689453	121.91999816894531	22.200000762939453	194.64	118.32	18.7	203.92	126.64	25.5	91225.0	-26.025473	-72.984115	198.767903
10.0	197.27999877929688	141.9199981689453	20.80000114440918	194.96	139.76	17.7	199.92	144.48	23.6	109276.0	-11.26714	-78.996859	207.818935
11.0	206.55999755859372	162.87998962402344	22.399999618530273	204.64	159.92000000000004	18.6	208.8	164.96	24.9	81909.0	-2.040046	-86.847793	225.314085
12.0	155.36000061035156	179.36000061035156	17.80000114440918	153.44	176.0	15.2	160.16	184.32	22.8	153546.0	39.026367	-79.357562	198.038079
13.0	162.55999755859375	172.16000366210938	19.200000762939453	157.92000000000004	168.72	15.2	165.36	174.72	21.700000000000006	175280.0	29.49491	-78.949712	200.096064
14.0	201.1199951171875	178.239990234375	22.80000114440918	198.8	175.36	19.5	205.04	180.8	25.3	97516.0	12.098824	-88.388281	229.391813
15.0	188.8000030517578	188.63999938964844	18.80000114440918	185.6	185.2	15.0	191.6	191.76	21.8	95703.0	26.667434	-91.191612	225.560288
16.0	213.9199981689453	194.55999755859372	24.20000076293945	212.16	191.92	19.8	218.0	199.2	27.700000000000006	80042.0	16.761504	-96.01752	246.814842
17.0	177.75999450683594	132.80000305175778	28.80000114440918	175.12	131.04	23.0	181.12	139.28	33.9	191076.0	-6.498472	-64.414843	194.12944
18.0	204.47999572753903	141.9199981689453	23.20000076293945	201.92	139.04	20.9	207.12	144.4	26.5	94480.0	-15.214975	-79.394501	213.161174
19.0	181.59999084472656	156.0	24.80000114440918	179.6	154.72	22.5	187.76	157.76	28.5	85776.0	7.423874	-75.173385	206.745059
20.0	206.55999755859372	145.9199981689453	27.20000076293945	203.2	143.6	24.700000000000006	209.52	148.48	30.4	105171.0	-13.957589	-78.078641	218.723923
21.0	139.36000061035156	187.83999633789062	24.399999618530273	137.6	185.36	20.5	141.20000000000005	189.52	29.9	72081.0	54.803596	-72.228251	194.587824
22.0	164.16000366210938	199.83999633789062	27.20000076293945	161.76	196.96	23.200000000000006	166.32	202.0	31.5	99174.0	49.09595	-80.342518	218.07448
23.0	200.1599884033203	141.44000244140625	31.20000076293945	196.96	138.96	29.0	202.56	143.92000000000004	34.800000000000004	102706.0	-13.362664	-71.379581	213.249777
24.0	189.59999084472656	164.47999572753906	30.60000038146973	187.36	162.88	26.3	193.92	168.72	31.3	100935.0	8.724259	-74.768467	218.3714
25.0	174.39999389648438	176.47999572753906	29.20000076293945	172.56	172.88	26.4	177.04	180.88	31.5	102267.0	26.365335	-75.035912	213.245524
26.0	174.72000122070312	116.15999603271484	33.60000228881836	172.64	113.84	32.2	176.64	118.0	36.6	47936.0	-16.695274	-54.770876	185.591585
27.0	194.87998962402344	120.0	31.80000114440918	193.68	118.56	30.0	196.56	121.12	39.90000000000001	25382.0	-25.390433	-63.343079	199.798404
28.0	132.31999206542972	162.72000122070312	35.79999923706055	129.52	160.56	32.1	133.76	164.24	39.1	35422.0	41.449064	-53.472267	182.205086
29.0	159.51998901367188	164.63999938964844	37.400001525878906	157.28	162.64	33.1	162.32	168.0	40.90000000000001	105420.0	26.844266	-61.363666	201.792278
30.0	142.87998962402344	184.3199920654297	37.0	140.24	180.48	33.9	145.68	186.48	39.90000000000001	83908.0	50.102578	-61.614806	200.349467
31.0	172.8000030517578	169.75999450683594	36.79999923706055	170.64	166.4	34.0	175.44	174.24	39.5	109987.0	22.942314	-66.525169	212.757052
32.0	158.55999755859375	120.15999603271484	41.400001525878906	156.08	117.68	37.4	163.76	122.8	44.90000000000001	110363.0	-4.439022	-45.44913	180.015371
33.0	207.83999633789062	117.5999984741211	41.0	204.8	116.08	37.9	211.44	122.8	43.90000000000001	102967.0	-33.966292	-59.18952	210.817794
34.0	137.91999816894528	144.0	42.79999923706055	135.52	139.44	37.9	141.76	147.44	46.3	91419.0	24.73543	-44.260896	179.298024
35.0	153.44000244140625	124.47999572753906	41.79999923706055	150.4	122.32	38.7	156.64	127.12	47.0	107154.0	1.879746	-43.974214	178.538609
36.0	166.55999755859375	134.55999755859378	45.20000076293945	163.36	131.84	39.40000000000001	168.56	137.84	46.90000000000001	109783.0	1.770564	-48.606699	194.378767
37.0	184.63999938964844	140.47999572753906	41.400001525878906	182.08	138.88	37.1	187.44	143.52	43.2	78443.0	-5.133743	-58.513413	206.994457
