label_id	ganglion_id	merged_bilateral_ganglion_id	ganglion_name	ganglion_name_short	gangliaColourScheme
310	14.0	7.0	frontal ganglion	FG	255-15-187-253
311	14.0	7.0	frontal ganglion	FG	255-15-187-253
312	19.0		None	None	None
313	19.0		None	None	None
314	17.0	9.0	mushroom bodies	MB	255-161-3-0
315	19.0		None	None	None
316	19.0		None	None	None
317	19.0		None	None	None
318	10.0	5.0	antennal ganglia	AG	255-138-205-0
319	19.0		None	None	None
320	19.0		None	None	None
321	10.0	5.0	antennal ganglia	AG	255-138-205-0
322	10.0	5.0	antennal ganglia	AG	255-138-205-0
323	19.0		None	None	None
324	19.0		None	None	None
325	19.0		None	None	None
326	1.0	1.0	palpal ganglia	PG	255-181-131-84
327	19.0		None	None	None
328	1.0	1.0	palpal ganglia	PG	255-181-131-84
329	19.0		None	None	None
330	19.0		None	None	None
331	19.0		None	None	None
332	19.0		None	None	None
333	19.0		None	None	None
335	19.0		None	None	None
336	19.0		None	None	None
337	1.0	1.0	palpal ganglia	PG	255-181-131-84
338	1.0	1.0	palpal ganglia	PG	255-181-131-84
339	19.0		None	None	None
343	1.0	1.0	palpal ganglia	PG	255-181-131-84
344	19.0		None	None	None
345	1.0	1.0	palpal ganglia	PG	255-181-131-84
346	1.0	1.0	palpal ganglia	PG	255-181-131-84
347	1.0	1.0	palpal ganglia	PG	255-181-131-84
348	1.0	1.0	palpal ganglia	PG	255-181-131-84
349	1.0	1.0	palpal ganglia	PG	255-181-131-84
350	19.0		None	None	None
351	1.0	1.0	palpal ganglia	PG	255-181-131-84
352	19.0		None	None	None
353	19.0		None	None	None
354	12.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
355	14.0	7.0	frontal ganglion	FG	255-15-187-253
356	14.0	7.0	frontal ganglion	FG	255-15-187-253
357	19.0		None	None	None
358	14.0	7.0	frontal ganglion	FG	255-15-187-253
359	14.0	7.0	frontal ganglion	FG	255-15-187-253
360	1.0	1.0	palpal ganglia	PG	255-181-131-84
361	9.0	5.0	antennal ganglia	AG	255-138-205-0
362	9.0	5.0	antennal ganglia	AG	255-138-205-0
363	19.0		None	None	None
364	9.0	5.0	antennal ganglia	AG	255-138-205-0
365	9.0	5.0	antennal ganglia	AG	255-138-205-0
366	19.0		None	None	None
367	19.0		None	None	None
368	19.0		None	None	None
369	19.0		None	None	None
370	19.0		None	None	None
371	19.0		None	None	None
372	2.0	1.0	palpal ganglia	PG	255-181-131-84
373	19.0		None	None	None
374	2.0	1.0	palpal ganglia	PG	255-181-131-84
375	2.0	1.0	palpal ganglia	PG	255-181-131-84
376	19.0		None	None	None
377	2.0	1.0	palpal ganglia	PG	255-181-131-84
