label_id	clusters	geneColourScheme
3	0.0	255-115-102-255
4	0.0	255-115-102-255
6	1.0	255-176-26-229
8	0.0	255-115-102-255
9	0.0	255-115-102-255
11	0.0	255-115-102-255
14	0.0	255-115-102-255
15	0.0	255-115-102-255
16	0.0	255-115-102-255
19	0.0	255-115-102-255
31	1.0	255-176-26-229
36	1.0	255-176-26-229
37	1.0	255-176-26-229
40	1.0	255-176-26-229
41	0.0	255-115-102-255
42	1.0	255-176-26-229
46	1.0	255-176-26-229
50	0.0	255-115-102-255
53	0.0	255-115-102-255
54	0.0	255-115-102-255
55	0.0	255-115-102-255
56	0.0	255-115-102-255
57	0.0	255-115-102-255
58	0.0	255-115-102-255
59	0.0	255-115-102-255
63	0.0	255-115-102-255
65	0.0	255-115-102-255
68	0.0	255-115-102-255
69	0.0	255-115-102-255
77	1.0	255-176-26-229
78	1.0	255-176-26-229
80	2.0	255-166-250-255
83	0.0	255-115-102-255
84	0.0	255-115-102-255
85	0.0	255-115-102-255
87	0.0	255-115-102-255
144	0.0	255-115-102-255
145	0.0	255-115-102-255
149	0.0	255-115-102-255
150	1.0	255-176-26-229
153	1.0	255-176-26-229
154	1.0	255-176-26-229
157	3.0	255-49-34-78
158	0.0	255-115-102-255
163	0.0	255-115-102-255
166	0.0	255-115-102-255
168	0.0	255-115-102-255
169	0.0	255-115-102-255
171	0.0	255-115-102-255
173	0.0	255-115-102-255
174	0.0	255-115-102-255
177	0.0	255-115-102-255
178	1.0	255-176-26-229
180	0.0	255-115-102-255
182	0.0	255-115-102-255
183	0.0	255-115-102-255
185	0.0	255-115-102-255
186	0.0	255-115-102-255
187	0.0	255-115-102-255
189	1.0	255-176-26-229
190	1.0	255-176-26-229
194	1.0	255-176-26-229
196	1.0	255-176-26-229
200	1.0	255-176-26-229
202	3.0	255-49-34-78
204	0.0	255-115-102-255
205	0.0	255-115-102-255
207	1.0	255-176-26-229
208	4.0	255-207-149-0
214	1.0	255-176-26-229
216	0.0	255-115-102-255
218	0.0	255-115-102-255
221	0.0	255-115-102-255
222	2.0	255-166-250-255
223	0.0	255-115-102-255
225	0.0	255-115-102-255
226	0.0	255-115-102-255
227	0.0	255-115-102-255
229	0.0	255-115-102-255
230	0.0	255-115-102-255
231	0.0	255-115-102-255
232	0.0	255-115-102-255
233	0.0	255-115-102-255
234	0.0	255-115-102-255
235	1.0	255-176-26-229
238	1.0	255-176-26-229
240	1.0	255-176-26-229
242	1.0	255-176-26-229
243	4.0	255-207-149-0
246	1.0	255-176-26-229
248	0.0	255-115-102-255
249	0.0	255-115-102-255
251	0.0	255-115-102-255
253	1.0	255-176-26-229
255	0.0	255-115-102-255
256	0.0	255-115-102-255
257	1.0	255-176-26-229
258	1.0	255-176-26-229
261	1.0	255-176-26-229
267	2.0	255-166-250-255
268	0.0	255-115-102-255
269	2.0	255-166-250-255
270	0.0	255-115-102-255
271	0.0	255-115-102-255
272	0.0	255-115-102-255
276	1.0	255-176-26-229
277	4.0	255-207-149-0
278	1.0	255-176-26-229
279	0.0	255-115-102-255
280	1.0	255-176-26-229
283	0.0	255-115-102-255
289	1.0	255-176-26-229
290	1.0	255-176-26-229
291	1.0	255-176-26-229
293	1.0	255-176-26-229
294	1.0	255-176-26-229
295	3.0	255-49-34-78
296	1.0	255-176-26-229
298	2.0	255-166-250-255
300	0.0	255-115-102-255
309	3.0	255-49-34-78
310	1.0	255-176-26-229
311	2.0	255-166-250-255
313	0.0	255-115-102-255
314	0.0	255-115-102-255
317	0.0	255-115-102-255
318	0.0	255-115-102-255
319	0.0	255-115-102-255
320	0.0	255-115-102-255
321	0.0	255-115-102-255
322	0.0	255-115-102-255
326	1.0	255-176-26-229
328	1.0	255-176-26-229
337	1.0	255-176-26-229
338	0.0	255-115-102-255
339	0.0	255-115-102-255
343	4.0	255-207-149-0
345	1.0	255-176-26-229
346	4.0	255-207-149-0
347	1.0	255-176-26-229
348	4.0	255-207-149-0
349	1.0	255-176-26-229
351	4.0	255-207-149-0
353	0.0	255-115-102-255
354	4.0	255-207-149-0
355	1.0	255-176-26-229
356	1.0	255-176-26-229
358	1.0	255-176-26-229
359	1.0	255-176-26-229
360	1.0	255-176-26-229
361	0.0	255-115-102-255
362	0.0	255-115-102-255
364	0.0	255-115-102-255
365	0.0	255-115-102-255
367	0.0	255-115-102-255
372	1.0	255-176-26-229
374	1.0	255-176-26-229
375	1.0	255-176-26-229
377	1.0	255-176-26-229
378	1.0	255-176-26-229
381	1.0	255-176-26-229
386	1.0	255-176-26-229
387	1.0	255-176-26-229
389	0.0	255-115-102-255
390	0.0	255-115-102-255
391	0.0	255-115-102-255
392	0.0	255-115-102-255
396	1.0	255-176-26-229
398	1.0	255-176-26-229
399	1.0	255-176-26-229
400	4.0	255-207-149-0
401	4.0	255-207-149-0
403	1.0	255-176-26-229
404	1.0	255-176-26-229
405	1.0	255-176-26-229
406	1.0	255-176-26-229
410	1.0	255-176-26-229
416	2.0	255-166-250-255
417	0.0	255-115-102-255
420	4.0	255-207-149-0
421	0.0	255-115-102-255
423	0.0	255-115-102-255
426	4.0	255-207-149-0
427	0.0	255-115-102-255
428	0.0	255-115-102-255
429	2.0	255-166-250-255
434	0.0	255-115-102-255
436	0.0	255-115-102-255
441	0.0	255-115-102-255
443	2.0	255-166-250-255
444	0.0	255-115-102-255
445	0.0	255-115-102-255
446	0.0	255-115-102-255
447	0.0	255-115-102-255
448	5.0	255-134-137-48
449	1.0	255-176-26-229
459	1.0	255-176-26-229
464	4.0	255-207-149-0
465	0.0	255-115-102-255
466	0.0	255-115-102-255
467	0.0	255-115-102-255
468	1.0	255-176-26-229
472	1.0	255-176-26-229
475	4.0	255-207-149-0
480	4.0	255-207-149-0
482	4.0	255-207-149-0
485	0.0	255-115-102-255
486	0.0	255-115-102-255
489	0.0	255-115-102-255
490	0.0	255-115-102-255
491	1.0	255-176-26-229
492	1.0	255-176-26-229
495	4.0	255-207-149-0
497	0.0	255-115-102-255
500	0.0	255-115-102-255
502	1.0	255-176-26-229
507	4.0	255-207-149-0
510	1.0	255-176-26-229
513	0.0	255-115-102-255
514	0.0	255-115-102-255
515	0.0	255-115-102-255
517	0.0	255-115-102-255
