label_id	clusters	morphologyColourScheme
1090.0	0	255-255-0-73
1108.0	1	255-147-172-58
728.0	1	255-147-172-58
1462.0	2	255-7-197-226
1487.0	3	255-98-0-122
577.0	4	255-254-141-100
1257.0	1	255-147-172-58
1560.0	5	255-181-131-84
1866.0	2	255-7-197-226
1469.0	3	255-98-0-122
1352.0	6	255-209-164-255
1540.0	1	255-147-172-58
2062.0	5	255-181-131-84
2082.0	2	255-7-197-226
2463.0	0	255-255-0-73
1516.0	3	255-98-0-122
2508.0	0	255-255-0-73
2190.0	2	255-7-197-226
2734.0	6	255-209-164-255
2724.0	2	255-7-197-226
3151.0	0	255-255-0-73
3155.0	7	255-98-132-2
3173.0	0	255-255-0-73
3157.0	0	255-255-0-73
2656.0	6	255-209-164-255
2169.0	1	255-147-172-58
2999.0	1	255-147-172-58
2842.0	1	255-147-172-58
3024.0	0	255-255-0-73
3368.0	2	255-7-197-226
2677.0	8	255-222-69-200
3077.0	2	255-7-197-226
3287.0	2	255-7-197-226
3485.0	8	255-222-69-200
3322.0	7	255-98-132-2
1711.0	9	255-0-76-255
3576.0	10	255-114-16-255
3827.0	2	255-7-197-226
3122.0	5	255-181-131-84
3982.0	2	255-7-197-226
3598.0	5	255-181-131-84
3636.0	0	255-255-0-73
4003.0	0	255-255-0-73
3639.0	7	255-98-132-2
3497.0	8	255-222-69-200
4483.0	4	255-254-141-100
4484.0	10	255-114-16-255
4319.0	10	255-114-16-255
4148.0	5	255-181-131-84
4011.0	4	255-254-141-100
4532.0	0	255-255-0-73
4977.0	5	255-181-131-84
4797.0	5	255-181-131-84
4839.0	7	255-98-132-2
5017.0	3	255-98-0-122
5248.0	2	255-7-197-226
5046.0	0	255-255-0-73
5047.0	0	255-255-0-73
5281.0	3	255-98-0-122
5068.0	9	255-0-76-255
5625.0	2	255-7-197-226
5403.0	3	255-98-0-122
2645.0	7	255-98-132-2
5688.0	5	255-181-131-84
5477.0	7	255-98-132-2
6192.0	3	255-98-0-122
6012.0	2	255-7-197-226
6557.0	3	255-98-0-122
6640.0	7	255-98-132-2
6911.0	8	255-222-69-200
6916.0	1	255-147-172-58
6673.0	6	255-209-164-255
6924.0	6	255-209-164-255
6923.0	7	255-98-132-2
6960.0	7	255-98-132-2
6704.0	9	255-0-76-255
6246.0	10	255-114-16-255
3518.0	9	255-0-76-255
6439.0	3	255-98-0-122
5510.0	0	255-255-0-73
6227.0	7	255-98-132-2
7012.0	3	255-98-0-122
6800.0	9	255-0-76-255
6601.0	10	255-114-16-255
6100.0	3	255-98-0-122
7081.0	5	255-181-131-84
7797.0	5	255-181-131-84
6409.0	7	255-98-132-2
7608.0	2	255-7-197-226
6177.0	7	255-98-132-2
5096.0	9	255-0-76-255
6544.0	9	255-0-76-255
7017.0	6	255-209-164-255
7456.0	2	255-7-197-226
7708.0	6	255-209-164-255
7532.0	7	255-98-132-2
6611.0	8	255-222-69-200
7942.0	3	255-98-0-122
7106.0	6	255-209-164-255
8140.0	5	255-181-131-84
7378.0	1	255-147-172-58
8075.0	9	255-0-76-255
8116.0	9	255-0-76-255
8101.0	3	255-98-0-122
8350.0	8	255-222-69-200
8556.0	2	255-7-197-226
7177.0	9	255-0-76-255
8801.0	1	255-147-172-58
8591.0	6	255-209-164-255
8850.0	4	255-254-141-100
8882.0	1	255-147-172-58
7416.0	9	255-0-76-255
8875.0	9	255-0-76-255
9409.0	9	255-0-76-255
10089.0	5	255-181-131-84
9912.0	9	255-0-76-255
9292.0	6	255-209-164-255
9343.0	3	255-98-0-122
10141.0	3	255-98-0-122
8813.0	7	255-98-132-2
9401.0	9	255-0-76-255
9541.0	3	255-98-0-122
9566.0	10	255-114-16-255
9235.0	9	255-0-76-255
10012.0	9	255-0-76-255
9441.0	4	255-254-141-100
10379.0	3	255-98-0-122
10810.0	4	255-254-141-100
10632.0	9	255-0-76-255
10661.0	0	255-255-0-73
10155.0	10	255-114-16-255
10463.0	7	255-98-132-2
9963.0	10	255-114-16-255
10455.0	1	255-147-172-58
10516.0	0	255-255-0-73
10767.0	9	255-0-76-255
10910.0	9	255-0-76-255
10607.0	8	255-222-69-200
11623.0	5	255-181-131-84
11039.0	2	255-7-197-226
11069.0	3	255-98-0-122
11294.0	7	255-98-132-2
10743.0	8	255-222-69-200
11549.0	3	255-98-0-122
10506.0	9	255-0-76-255
11805.0	7	255-98-132-2
11597.0	2	255-7-197-226
11439.0	8	255-222-69-200
12145.0	6	255-209-164-255
11703.0	9	255-0-76-255
11942.0	9	255-0-76-255
12143.0	2	255-7-197-226
11760.0	8	255-222-69-200
10534.0	0	255-255-0-73
10526.0	9	255-0-76-255
11789.0	8	255-222-69-200
12647.0	3	255-98-0-122
12249.0	1	255-147-172-58
12634.0	3	255-98-0-122
12687.0	5	255-181-131-84
11023.0	9	255-0-76-255
12312.0	7	255-98-132-2
11168.0	9	255-0-76-255
12399.0	5	255-181-131-84
12609.0	8	255-222-69-200
12194.0	3	255-98-0-122
12620.0	4	255-254-141-100
13121.0	9	255-0-76-255
12999.0	2	255-7-197-226
12974.0	2	255-7-197-226
13380.0	3	255-98-0-122
13085.0	9	255-0-76-255
13940.0	9	255-0-76-255
14011.0	2	255-7-197-226
13631.0	8	255-222-69-200
13009.0	9	255-0-76-255
14298.0	8	255-222-69-200
13964.0	8	255-222-69-200
14378.0	2	255-7-197-226
14203.0	9	255-0-76-255
14617.0	3	255-98-0-122
14813.0	9	255-0-76-255
14036.0	3	255-98-0-122
14674.0	3	255-98-0-122
15313.0	3	255-98-0-122
15361.0	2	255-7-197-226
14958.0	9	255-0-76-255
14797.0	8	255-222-69-200
14630.0	8	255-222-69-200
15228.0	8	255-222-69-200
15431.0	9	255-0-76-255
14955.0	9	255-0-76-255
15557.0	5	255-181-131-84
14774.0	9	255-0-76-255
15384.0	9	255-0-76-255
15590.0	3	255-98-0-122
15593.0	9	255-0-76-255
16098.0	9	255-0-76-255
16699.0	8	255-222-69-200
16724.0	7	255-98-132-2
17132.0	0	255-255-0-73
15734.0	9	255-0-76-255
15733.0	9	255-0-76-255
12437.0	9	255-0-76-255
16061.0	4	255-254-141-100
16640.0	9	255-0-76-255
16375.0	6	255-209-164-255
16987.0	9	255-0-76-255
16155.0	10	255-114-16-255
15121.0	8	255-222-69-200
17023.0	3	255-98-0-122
17485.0	7	255-98-132-2
17847.0	7	255-98-132-2
17487.0	7	255-98-132-2
17156.0	5	255-181-131-84
17520.0	3	255-98-0-122
18308.0	0	255-255-0-73
17557.0	2	255-7-197-226
