label_id	gene_clusters	neuron_traced
314	1	1
489	1	0
671	2	0
672	1	1
921	1	0
923	3	1
970	1	0
1055	1	0
1062	1	0
1063	2	0
1066	1	0
1109	2	1
1110	2	0
1111	4	0
1112	1	0
1113	1	0
1114	1	0
1190	1	0
1191	1	0
1209	5	0
1221	2	0
1225	3	0
1260	1	0
1275	1	0
1276	3	0
1297	2	0
1352	6	0
1372	3	0
1401	1	0
1404	3	1
1406	2	0
1439	3	0
1476	3	0
1479	3	0
1493	6	0
1494	7	0
1495	7	1
1496	3	0
1510	7	1
1543	1	0
1544	4	0
1550	3	0
1551	5	0
1552	3	0
1626	3	0
1628	3	0
1640	7	0
1641	3	0
1643	3	0
1686	4	0
1696	6	0
1697	7	0
1698	7	0
1704	3	0
1705	5	1
1778	5	0
1790	6	0
1791	6	0
1792	5	0
1793	5	0
1806	7	0
1808	3	0
1854	6	0
1855	8	0
1856	7	0
1865	3	0
1869	3	1
1870	3	1
1871	3	1
1932	3	0
1960	5	0
1961	3	0
1962	3	0
1973	9	0
2012	6	0
2021	5	0
2022	3	0
2023	5	0
2024	5	1
2025	5	1
2026	3	0
2027	2	0
2037	3	0
2039	3	0
2083	3	0
2109	3	0
2110	3	0
2120	6	0
2121	3	0
2122	5	0
2123	6	0
2129	9	0
2131	7	0
2132	6	0
2133	6	0
2134	9	0
2135	3	0
2161	6	0
2175	6	1
2176	7	1
2183	5	1
2186	2	0
2200	3	0
2248	3	0
2249	3	0
2250	3	0
2268	5	0
2269	6	0
2270	5	0
2272	5	0
2274	5	0
2284	9	0
2285	9	0
2286	9	0
2287	8	0
2288	9	0
2289	3	0
2325	3	0
2331	5	0
2332	9	0
2340	5	1
2341	5	0
2359	2	0
2396	3	0
2415	3	0
2423	6	0
2424	6	0
2425	6	0
2426	5	0
2427	5	0
2428	5	0
2429	3	0
2437	4	0
2440	6	0
2441	6	0
2442	6	0
2443	9	0
2451	2	0
2452	4	0
2453	8	0
2483	6	0
2504	3	0
2505	5	0
2506	5	0
2507	8	1
2529	3	0
2530	3	0
2532	3	0
2533	3	1
2534	3	0
2588	3	0
2591	5	0
2592	3	0
2593	3	0
2594	3	0
2609	9	0
2610	5	0
2620	9	0
2623	6	0
