label_id	clusters	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11
1090	0	1	0	0	0	0	0	0	0	0	0	0	0
1108	1	0	1	0	0	0	0	0	0	0	0	0	0
728	1	0	1	0	0	0	0	0	0	0	0	0	0
1462	2	0	0	1	0	0	0	0	0	0	0	0	0
1487	3	0	0	0	1	0	0	0	0	0	0	0	0
577	4	0	0	0	0	1	0	0	0	0	0	0	0
1257	1	0	1	0	0	0	0	0	0	0	0	0	0
1560	5	0	0	0	0	0	1	0	0	0	0	0	0
1866	2	0	0	1	0	0	0	0	0	0	0	0	0
1469	3	0	0	0	1	0	0	0	0	0	0	0	0
1352	6	0	0	0	0	0	0	1	0	0	0	0	0
1540	1	0	1	0	0	0	0	0	0	0	0	0	0
2062	7	0	0	0	0	0	0	0	1	0	0	0	0
2082	1	0	1	0	0	0	0	0	0	0	0	0	0
2463	0	1	0	0	0	0	0	0	0	0	0	0	0
1516	3	0	0	0	1	0	0	0	0	0	0	0	0
2508	0	1	0	0	0	0	0	0	0	0	0	0	0
2190	6	0	0	0	0	0	0	1	0	0	0	0	0
2734	6	0	0	0	0	0	0	1	0	0	0	0	0
2724	2	0	0	1	0	0	0	0	0	0	0	0	0
3151	0	1	0	0	0	0	0	0	0	0	0	0	0
3155	0	1	0	0	0	0	0	0	0	0	0	0	0
3173	0	1	0	0	0	0	0	0	0	0	0	0	0
3157	0	1	0	0	0	0	0	0	0	0	0	0	0
2656	6	0	0	0	0	0	0	1	0	0	0	0	0
2169	1	0	1	0	0	0	0	0	0	0	0	0	0
2999	1	0	1	0	0	0	0	0	0	0	0	0	0
2842	1	0	1	0	0	0	0	0	0	0	0	0	0
3024	0	1	0	0	0	0	0	0	0	0	0	0	0
3368	1	0	1	0	0	0	0	0	0	0	0	0	0
2677	8	0	0	0	0	0	0	0	0	1	0	0	0
3077	2	0	0	1	0	0	0	0	0	0	0	0	0
3287	2	0	0	1	0	0	0	0	0	0	0	0	0
3485	8	0	0	0	0	0	0	0	0	1	0	0	0
3322	9	0	0	0	0	0	0	0	0	0	1	0	0
1711	10	0	0	0	0	0	0	0	0	0	0	1	0
3576	7	0	0	0	0	0	0	0	1	0	0	0	0
3827	2	0	0	1	0	0	0	0	0	0	0	0	0
3122	7	0	0	0	0	0	0	0	1	0	0	0	0
3982	2	0	0	1	0	0	0	0	0	0	0	0	0
3598	7	0	0	0	0	0	0	0	1	0	0	0	0
3636	0	1	0	0	0	0	0	0	0	0	0	0	0
4003	0	1	0	0	0	0	0	0	0	0	0	0	0
3639	5	0	0	0	0	0	1	0	0	0	0	0	0
3497	8	0	0	0	0	0	0	0	0	1	0	0	0
4483	4	0	0	0	0	1	0	0	0	0	0	0	0
4484	7	0	0	0	0	0	0	0	1	0	0	0	0
4319	7	0	0	0	0	0	0	0	1	0	0	0	0
4148	7	0	0	0	0	0	0	0	1	0	0	0	0
4011	11	0	0	0	0	0	0	0	0	0	0	0	1
4532	0	1	0	0	0	0	0	0	0	0	0	0	0
4977	7	0	0	0	0	0	0	0	1	0	0	0	0
4797	7	0	0	0	0	0	0	0	1	0	0	0	0
4839	9	0	0	0	0	0	0	0	0	0	1	0	0
5017	3	0	0	0	1	0	0	0	0	0	0	0	0
5248	2	0	0	1	0	0	0	0	0	0	0	0	0
5046	0	1	0	0	0	0	0	0	0	0	0	0	0
5047	0	1	0	0	0	0	0	0	0	0	0	0	0
5281	3	0	0	0	1	0	0	0	0	0	0	0	0
5068	10	0	0	0	0	0	0	0	0	0	0	1	0
5625	2	0	0	1	0	0	0	0	0	0	0	0	0
5403	4	0	0	0	0	1	0	0	0	0	0	0	0
2645	9	0	0	0	0	0	0	0	0	0	1	0	0
5688	5	0	0	0	0	0	1	0	0	0	0	0	0
5477	9	0	0	0	0	0	0	0	0	0	1	0	0
6192	3	0	0	0	1	0	0	0	0	0	0	0	0
6012	2	0	0	1	0	0	0	0	0	0	0	0	0
6557	3	0	0	0	1	0	0	0	0	0	0	0	0
6640	9	0	0	0	0	0	0	0	0	0	1	0	0
6911	8	0	0	0	0	0	0	0	0	1	0	0	0
6916	1	0	1	0	0	0	0	0	0	0	0	0	0
6673	6	0	0	0	0	0	0	1	0	0	0	0	0
6924	0	1	0	0	0	0	0	0	0	0	0	0	0
6923	5	0	0	0	0	0	1	0	0	0	0	0	0
6960	9	0	0	0	0	0	0	0	0	0	1	0	0
