label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	cell_id	nucleus_id
10.0	210.4	146.8	48.5	191.28	146.8	48.5	210.48	153.52	57.1	262.0	4237.0	2717.0
100.0	220.4	160.16	31.8	203.36	147.68	0.2	221.36	161.92	63.2	993.0	2197.0	1718.0
101.0	200.56	207.68	32.1	152.24	188.08	21.2	200.96	210.32	58.3	632.0	2299.0	1583.0
103.0	196.32	205.44	37.7	177.2	186.88	0.2	196.88	208.24	61.2	962.0	2788.0	1880.0
109.0	213.12	179.44	71.0	212.56	177.2	68.6	213.28	179.52	71.1	12.0	7299.0	4013.0
113.0	184.48	183.92	66.0	176.64	177.2	50.8	184.56	188.56	66.1	506.0	6079.0	3633.0
115.0	182.96	187.6	66.7	175.36	164.16	56.2	197.2	187.68	66.8	452.0	6340.0	3703.0
117.0	179.52	190.08	66.3	178.64	186.88	55.7	195.04	195.28	66.4	331.0	6339.0	3699.0
119.0	181.84	193.12	65.3	178.64	186.88	55.5	191.36	194.64	65.4	259.0	6603.0	3701.0
12.0	206.8	150.08	48.1	191.04	148.0	48.1	206.88	154.0	56.2	296.0	3899.0	2714.0
125.0	193.28	201.6	76.5	189.44	177.76	68.9	200.88	222.4	76.6	480.0	7955.0	4432.0
127.0	196.08	207.28	76.0	189.12	184.32	61.1	200.08	219.2	76.1	737.0	7746.0	4433.0
13.0	189.28	188.08	70.5	184.48	175.28	42.9	194.96	191.76	70.7	908.0	7077.0	4085.0
133.0	222.88	172.8	80.3	201.76	168.0	64.8	238.48	179.04	81.7	652.0	8280.0	4704.0
135.0	206.32	162.24	69.0	190.08	159.12	57.1	206.4	178.72	69.1	337.0	6782.0	3933.0
137.0	201.6	212.24	62.8	185.76	191.28	62.0	201.68	212.32	66.4	305.0	5870.0	3771.0
139.0	201.92	212.56	60.5	186.8	192.48	60.5	202.0	212.64	64.6	169.0	5426.0	3436.0
141.0	198.56	209.2	61.5	190.96	180.8	61.5	198.64	209.28	71.7	361.0	5651.0	3435.0
148.0	203.2	205.36	84.6	190.96	182.4	63.3	211.36	218.72	84.7	537.0	8504.0	5049.0
149.0	203.28	200.56	84.1	191.12	179.2	60.7	215.52	218.72	84.2	1050.0	8699.0	5048.0
151.0	206.16	204.16	85.7	190.96	191.84	73.0	207.92	218.8	86.7	250.0	8883.0	5054.0
152.0	221.84	178.48	83.2	198.08	171.12	63.6	237.76	194.48	83.6	775.0	8660.0	5001.0
154.0	220.56	175.2	81.0	201.6	172.24	63.7	238.0	191.68	82.3	492.0	8086.0	4703.0
157.0	224.88	164.88	91.7	203.92	162.72	71.6	238.8	172.56	91.8	450.0	9370.0	5225.0
158.0	227.44	171.6	91.6	207.28	160.64	71.8	235.92	173.36	91.7	394.0	9012.0	5279.0
160.0	205.68	139.36	34.5	180.4	121.92	10.0	207.2	141.6	52.0	431.0	2173.0	1640.0
162.0	208.48	140.32	33.9	181.36	124.56	9.9	209.76	144.4	52.7	565.0	2329.0	1306.0
164.0	208.0	136.16	33.4	182.64	123.6	10.1	208.48	142.0	60.3	606.0	2328.0	1303.0
166.0	204.72	140.4	29.0	180.0	125.92	6.9	205.44	142.0	57.5	599.0	824.0	1024.0
167.0	202.8	137.92	34.7	183.36	124.8	9.9	209.76	144.56	47.3	424.0	1834.0	1301.0
169.0	199.84	141.04	32.9	187.44	137.28	11.1	202.48	143.76	42.2	138.0	1540.0	23.0
171.0	208.64	137.6	27.1	174.08	129.6	8.7	208.8	193.68	66.9	938.0	1104.0	1025.0
173.0	208.96	141.36	24.2	182.48	135.84	8.4	211.12	154.88	57.8	722.0	1258.0	788.0
176.0	200.72	135.92	17.6	182.48	135.36	5.4	203.92	146.4	53.3	624.0	825.0	780.0
178.0	206.64	142.88	29.5	177.68	121.2	6.6	207.92	186.64	63.9	1074.0	1849.0	1299.0
179.0	152.0	183.28	31.6	136.32	163.28	11.6	182.0	194.64	63.5	611.0	2229.0	1399.0
181.0	148.0	179.04	31.2	139.04	167.52	6.9	166.64	191.6	52.0	718.0	2230.0	1748.0
183.0	147.52	182.8	35.4	140.48	167.12	14.0	164.64	189.04	48.4	733.0	2394.0	1747.0
187.0	145.12	187.76	33.9	136.16	164.96	11.0	177.12	191.68	57.4	752.0	2395.0	1827.0
189.0	146.08	185.92	39.6	136.0	164.72	11.5	184.72	194.16	66.8	805.0	2908.0	2103.0
191.0	148.4	189.68	38.3	138.08	167.12	12.7	184.24	195.92	62.7	841.0	1923.0	2173.0
193.0	152.24	189.76	41.0	136.48	166.16	10.2	205.44	193.76	72.4	856.0	3085.0	2177.0
195.0	142.4	175.36	32.4	138.24	160.24	15.6	162.96	187.2	50.0	485.0	2209.0	1387.0
197.0	145.04	175.84	29.5	135.92	165.36	13.7	163.68	187.52	48.5	546.0	1900.0	1389.0
199.0	145.44	180.88	26.7	136.64	165.44	9.2	163.6	188.96	53.2	555.0	1921.0	1390.0
201.0	146.8	173.2	36.8	138.64	165.52	15.3	188.08	187.76	49.3	924.0	2210.0	1745.0
203.0	143.52	183.04	29.0	143.36	166.96	10.8	186.88	189.36	48.8	1249.0	1922.0	1388.0
205.0	144.48	186.88	30.1	133.6	170.88	6.5	160.48	192.0	57.7	744.0	2076.0	1482.0
207.0	147.36	183.52	31.7	141.6	143.04	6.5	209.68	195.6	67.1	1341.0	2077.0	1393.0
209.0	169.52	219.2	71.8	167.2	191.44	53.1	179.84	219.28	71.9	415.0	6654.0	4130.0
21.0	224.88	166.56	69.1	203.6	166.0	63.4	224.96	175.76	69.4	669.0	6568.0	4023.0
211.0	167.44	215.12	60.0	167.44	181.44	47.4	212.08	215.2	60.8	1058.0	5435.0	3410.0
213.0	164.08	216.16	63.6	163.84	176.08	51.5	206.8	225.68	65.2	1044.0	5662.0	3409.0
215.0	172.88	216.64	62.6	169.52	185.68	50.8	194.0	216.72	64.2	817.0	5877.0	3753.0
216.0	170.16	213.92	65.2	164.4	184.08	49.4	208.08	225.36	68.5	1273.0	6120.0	3750.0
218.0	165.12	211.12	61.4	163.2	183.68	50.6	216.64	218.08	68.1	1043.0	5188.0	3411.0
220.0	163.6	218.56	66.4	163.52	190.16	51.9	181.68	224.96	67.4	584.0	6642.0	4125.0
222.0	168.56	210.08	64.3	166.08	177.28	40.7	198.0	210.64	68.0	1816.0	5647.0	3748.0
223.0	171.36	213.12	60.3	166.72	195.68	50.1	173.2	218.96	60.7	274.0	5421.0	3416.0
225.0	170.24	217.84	58.1	169.28	183.44	51.3	191.84	217.92	60.5	847.0	5191.0	3414.0
226.0	161.76	208.0	61.6	159.76	195.28	53.1	169.84	225.12	65.9	266.0	5862.0	3405.0
228.0	155.92	211.44	60.2	152.96	166.96	43.2	211.36	223.2	60.6	1836.0	5416.0	3401.0
230.0	232.24	137.2	65.5	200.8	137.2	52.9	239.52	179.36	65.6	1201.0	6224.0	3525.0
232.0	233.84	139.36	61.2	197.92	138.48	52.6	240.32	187.84	66.2	1179.0	5507.0	3233.0
234.0	232.48	147.04	59.4	196.72	144.0	51.9	234.08	178.32	63.9	1321.0	5102.0	0.0
236.0	225.28	145.44	59.4	195.6	143.28	52.3	241.84	183.6	65.1	1230.0	5506.0	3224.0
238.0	223.92	145.04	63.9	208.08	144.64	54.7	224.0	156.08	64.0	203.0	5530.0	3520.0
240.0	230.8	144.64	64.5	200.32	143.6	53.2	230.88	174.64	65.1	756.0	5759.0	3524.0
242.0	226.24	144.0	67.2	199.28	138.96	52.1	240.24	195.68	67.3	1475.0	6255.0	3888.0
244.0	227.44	132.64	57.6	209.84	132.64	55.4	227.52	157.28	58.8	251.0	5041.0	3225.0
246.0	229.52	135.68	57.8	209.28	135.68	54.9	229.6	148.48	59.0	189.0	5078.0	3227.0
248.0	225.68	128.8	59.6	197.36	128.8	39.5	225.76	178.88	60.3	1364.0	5254.0	3223.0
249.0	227.04	141.36	61.0	200.16	138.72	53.6	241.36	198.16	69.6	1140.0	5077.0	3226.0
251.0	225.44	136.16	59.8	198.72	136.16	53.5	225.52	176.08	68.4	1452.0	5279.0	3222.0
253.0	223.36	139.12	57.8	201.36	124.88	54.0	232.32	162.24	59.5	759.0	5039.0	3220.0
255.0	223.04	132.64	56.5	194.0	132.64	39.2	223.12	178.24	60.3	1277.0	5040.0	3221.0
257.0	226.56	140.8	63.0	194.08	140.8	41.4	226.64	177.36	63.1	1867.0	5737.0	3522.0
259.0	169.36	178.08	14.4	156.56	164.64	4.9	173.6	187.68	53.4	804.0	649.0	675.0
26.0	216.32	171.2	15.5	208.16	151.84	0.1	223.92	171.84	37.5	538.0	538.0	716.0
261.0	171.76	175.36	19.8	155.76	163.68	5.2	173.12	190.0	52.8	721.0	875.0	873.0
263.0	167.36	174.48	20.7	152.4	162.64	4.2	169.36	188.16	46.0	833.0	1008.0	869.0
265.0	166.16	171.2	18.0	156.96	163.6	5.7	173.84	185.36	52.5	723.0	743.0	674.0
269.0	169.68	178.48	17.7	157.12	167.76	10.1	172.72	192.96	51.9	536.0	1033.0	872.0
271.0	174.72	180.8	18.8	153.68	161.76	4.9	174.96	192.88	57.6	811.0	1035.0	875.0
273.0	165.12	178.8	18.6	156.0	168.72	9.6	169.12	189.92	41.1	282.0	1031.0	868.0
275.0	175.84	176.96	18.4	156.4	164.08	4.8	176.88	184.8	56.5	786.0	1009.0	876.0
277.0	167.68	182.96	17.8	155.68	167.68	7.8	169.12	190.88	42.0	411.0	1034.0	870.0
279.0	169.68	178.64	21.9	155.76	168.56	12.4	170.56	191.44	42.7	472.0	1172.0	1118.0
281.0	177.2	181.6	15.5	154.56	163.76	4.8	178.08	195.28	48.3	589.0	896.0	680.0
283.0	173.92	185.12	15.0	157.12	168.24	9.7	174.8	193.6	43.5	502.0	772.0	678.0
285.0	171.52	182.72	20.1	154.8	164.72	4.6	172.24	194.4	46.6	569.0	1032.0	874.0
287.0	177.28	186.96	14.7	157.68	167.12	8.8	177.52	191.84	47.6	768.0	774.0	734.0
289.0	226.16	158.08	71.4	202.24	158.08	54.2	226.24	197.52	72.3	690.0	6785.0	4317.0
291.0	226.0	154.48	74.2	204.72	154.48	54.6	226.08	194.64	74.3	599.0	7261.0	4315.0
293.0	222.8	162.56	71.8	200.88	153.44	57.6	224.4	172.48	74.1	1298.0	6284.0	3945.0
295.0	231.92	161.84	73.2	204.72	160.08	54.5	232.0	195.04	73.3	615.0	7263.0	4318.0
297.0	227.76	150.16	78.4	204.4	150.16	54.1	227.84	196.16	78.5	606.0	7870.0	4644.0
299.0	230.32	155.04	80.8	205.12	155.04	54.9	230.4	192.72	80.9	610.0	8067.0	4646.0
3.0	220.72	164.64	68.6	209.04	164.64	56.8	220.8	179.76	68.8	499.0	6533.0	3944.0
30.0	226.08	159.84	23.6	212.0	148.8	0.2	227.04	165.84	61.3	1331.0	1293.0	847.0
301.0	231.04	158.48	78.7	221.44	150.08	68.2	234.48	158.96	84.6	140.0	7481.0	4647.0
303.0	232.4	148.24	77.6	216.4	142.96	68.6	234.88	160.64	82.6	159.0	6758.0	114.0
305.0	218.64	158.96	74.5	195.92	158.96	52.3	218.72	196.64	74.6	860.0	7260.0	4309.0
307.0	233.2	163.36	78.5	220.32	158.56	69.2	233.28	163.84	78.6	99.0	8089.0	4648.0
309.0	236.56	162.48	71.7	191.6	162.48	43.3	236.64	193.12	72.4	1441.0	7265.0	3956.0
311.0	226.8	161.04	68.9	186.48	161.04	52.2	226.88	194.24	74.3	1390.0	6535.0	3948.0
313.0	228.24	171.28	72.1	200.8	151.52	60.9	228.32	171.36	72.3	179.0	7289.0	4030.0
315.0	229.04	168.4	70.8	186.0	164.24	64.4	229.12	190.48	70.9	678.0	7288.0	4029.0
317.0	229.04	164.4	69.8	201.76	164.32	55.9	229.12	197.92	73.9	868.0	7033.0	3950.0
319.0	234.16	168.96	71.6	195.52	166.0	65.3	234.24	183.28	72.8	534.0	7290.0	4032.0
32.0	170.08	174.24	15.3	156.8	165.6	5.0	174.0	184.32	54.6	953.0	745.0	6.0
321.0	191.44	143.36	28.4	176.08	130.16	5.4	204.72	147.04	58.5	454.0	1538.0	1010.0
323.0	195.92	146.0	20.2	176.16	131.92	5.3	201.36	150.8	51.4	522.0	967.0	819.0
325.0	200.64	144.4	22.3	176.96	128.88	5.4	208.32	147.04	51.2	466.0	1399.0	1019.0
327.0	195.2	145.04	25.1	177.36	126.48	5.2	205.52	146.32	50.3	573.0	1397.0	1015.0
329.0	193.04	148.08	23.3	180.4	140.64	13.2	202.32	149.84	45.7	309.0	1271.0	1053.0
33.0	191.68	202.56	38.1	175.6	188.32	0.1	195.2	207.6	61.5	1974.0	2430.0	0.0
331.0	188.88	145.92	21.3	175.2	136.24	7.7	199.52	149.84	45.6	365.0	950.0	812.0
333.0	197.92	148.0	26.1	173.84	124.64	6.0	205.84	148.08	55.2	539.0	1548.0	1057.0
335.0	198.72	152.08	27.0	177.92	129.68	8.2	207.44	180.16	63.6	800.0	1703.0	1348.0
337.0	191.44	142.24	21.8	176.96	132.72	5.1	198.88	149.84	49.7	503.0	1102.0	774.0
339.0	193.52	140.08	23.9	174.0	124.96	6.9	195.44	146.4	39.8	312.0	1396.0	1012.0
341.0	197.52	141.92	20.3	176.32	125.76	5.9	208.64	145.28	47.9	533.0	1108.0	10.0
343.0	200.0	139.92	23.3	181.52	133.04	5.7	202.8	142.16	36.5	266.0	1103.0	1018.0
