cilia_id	cell_id
11	21590
15	21590
22	21910
23	21910
83	21911
24	21910
25	21910
527	21911
29	21910
31	21910
32	21910
33	21594
40	21594
41	21590
42	21590
44	21594
45	21594
47	21594
55	21594
58	21910
59	21910
26	21910
528	21910
74	21910
82	21911
131	21915
140	21911
144	21911
150	21911
150	21911
154	21915
99	21915
158	21915
168	21904
525	21904
189	22182
197	22515
203	22515
208	21904
128	21915
222	22182
242	22699
271	22182
297	21904
319	22699
334	22181
529	22181
404	22584
412	22925
418	22584
420	22925
436	22925
531	24024
475	24024
12	21590
21	21911
120	21910
35	21594
43	21590
57	21910
60	21910
25	21910
61	21910
78	21911
72	21910
75	21910
78	21911
122	21911
148	21915
95	21915
159	21915
169	21904
171	21915
172	21915
187	22515
188	22515
190	22515
191	22515
192	22515
193	22515
286	22515
194	22515
195	22515
196	22515
198	22515
199	22182
229	22515
204	22515
205	22515
216	21915
128	21915
223	22182
224	22182
225	22182
227	22515
228	22515
229	22182
230	22182
233	22699
245	22699
238	22699
247	22699
253	22699
241	22699
243	22699
248	22699
317	22699
251	22699
255	22699
256	22700
257	22700
1	22700
258	22700
260	22700
261	22700
116	21915
267	22181
268	22181
269	22181
270	22181
271	22182
272	22182
321	22699
289	22515
