label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	label_id.1	cell_id	length	diameter	cell_id
0.0	121.20574188232422	115.97288513183594	192.5835418701172	66.56	56.32	172.8	194.55	194.55	222.375	4444923089.0	0.0	0.0	0.0	0.0	0.0
1.0	92.78311920166016	143.65782165527344	191.4658203125	66.56	58.88	173.75	194.55	191.99	221.225	5666893652.0	1.0	22700.0	0.0	0.0	22700.0
2.0	175.60556030273438	85.60089874267578	175.6337432861328	175.45000000000005	85.47	175.57500000000005	175.79	85.75	175.70000000000005	2171.0	2.0	0.0	0.0	0.0	0.0
3.0	147.1314697265625	88.6330337524414	176.02635192871094	146.79	88.45	175.95000000000005	147.39	88.79	176.10000000000005	1861.0	3.0	0.0	0.0	0.0	0.0
4.0	147.547119140625	87.5887222290039	175.69139099121094	147.27	87.43	175.625	147.91	87.8	175.72500000000005	1828.0	4.0	0.0	0.0	0.0	0.0
5.0	171.17921447753906	87.95808410644531	176.0050811767578	170.95000000000005	87.74	175.925	171.43	88.23	176.10000000000005	6761.0	5.0	0.0	0.0	0.0	0.0
6.0	177.2853546142578	89.2635498046875	175.40020751953125	176.84	89.06	175.32500000000005	177.67000000000004	89.49	175.55	4053.0	6.0	0.0	0.0	0.0	0.0
7.0	177.26519775390625	89.43484497070312	175.40980529785156	176.92000000000004	89.28	175.175	177.56	89.56	175.5	3719.0	7.0	0.0	0.0	0.0	0.0
8.0	176.57994079589844	82.74616241455078	177.24412536621094	176.38	82.36	177.10000000000005	176.77	83.15	177.375	10870.0	8.0	0.0	0.0	0.0	0.0
9.0	161.4741668701172	86.7986831665039	176.4180908203125	161.17000000000004	86.64	176.25	161.69	87.0	176.60000000000005	7670.0	9.0	0.0	0.0	0.0	0.0
10.0	162.50927734375	86.87259674072266	176.9810028076172	162.37	86.67	176.875	162.67000000000004	87.03	177.15	3013.0	10.0	0.0	0.0	0.0	0.0
11.0	152.45228576660156	89.10624694824219	177.07591247558594	139.19	82.66	177.25	154.89	89.69	185.9	912771.0	11.0	21590.0	0.0	0.0	21590.0
12.0	154.85183715820312	88.78629302978516	177.07591247558594	139.31	83.16	177.47500000000005	155.42000000000004	89.33	185.475	874158.0	12.0	21590.0	0.0	0.0	21590.0
13.0	171.7316131591797	89.43692779541016	176.53871154785156	171.56	89.27	176.4	172.05	89.59	176.65	5826.0	13.0	0.0	0.0	0.0	0.0
