label_id	cell_id
0.0	0
1.0	0
2.0	22478
3.0	22478
4.0	22478
5.0	22815
6.0	22815
7.0	22814
8.0	22814
9.0	22814
10.0	22814
11.0	22814
12.0	22814
13.0	22814
14.0	22814
15.0	22814
16.0	22482
17.0	22482
18.0	22815
19.0	22815
20.0	22482
21.0	22478
22.0	22478
23.0	22478
24.0	22482
25.0	22482
26.0	22482
27.0	22482
28.0	22814
29.0	22814
30.0	22814
31.0	22814
32.0	22814
33.0	22815
34.0	22815
35.0	22814
36.0	22814
37.0	22814
38.0	22814
39.0	0
40.0	22815
41.0	22815
42.0	22815
43.0	22815
44.0	22819
45.0	22819
46.0	22819
47.0	22819
48.0	22819
49.0	22815
50.0	0
51.0	0
52.0	22819
53.0	22819
54.0	22819
55.0	22815
56.0	22819
57.0	22815
58.0	22819
59.0	22814
60.0	22819
61.0	22819
62.0	22819
63.0	22814
64.0	22815
65.0	0
66.0	22819
67.0	0
68.0	0
69.0	0
70.0	22808
71.0	22808
72.0	22819
73.0	22819
74.0	23613
75.0	23431
76.0	23431
77.0	23091
78.0	23431
79.0	23431
80.0	23431
81.0	23431
82.0	23431
83.0	23431
84.0	23431
85.0	23431
86.0	23431
87.0	23091
88.0	23431
89.0	23431
90.0	23431
91.0	23431
92.0	23431
93.0	23431
94.0	22808
95.0	23091
96.0	23091
97.0	23091
98.0	23091
99.0	23431
100.0	23431
101.0	23431
102.0	23613
103.0	23613
104.0	23613
105.0	23613
106.0	0
107.0	23613
108.0	23613
109.0	23613
110.0	23613
111.0	23613
112.0	23613
113.0	23613
114.0	23613
115.0	23613
116.0	23614
117.0	23614
118.0	23614
119.0	23614
120.0	23614
121.0	23614
122.0	23614
123.0	23090
124.0	23090
125.0	23090
126.0	23090
127.0	23091
128.0	23431
129.0	23613
130.0	23431
131.0	23613
132.0	22808
133.0	23090
134.0	0
135.0	0
136.0	0
137.0	23613
138.0	23090
139.0	23091
140.0	23614
141.0	23614
142.0	23614
143.0	23614
144.0	23614
145.0	23614
146.0	23614
147.0	23614
148.0	23614
149.0	23614
150.0	23614
151.0	0
152.0	0
153.0	0
154.0	0
155.0	0
156.0	0
157.0	23498
158.0	23498
159.0	0
160.0	0
161.0	0
162.0	23498
163.0	23498
164.0	23846
165.0	23846
166.0	23498
167.0	23846
168.0	23846
169.0	23498
170.0	23846
171.0	23498
172.0	24962
173.0	24962
174.0	24962
175.0	24962
176.0	24962
177.0	24962
178.0	22808
179.0	22814
180.0	22814
181.0	22814
182.0	23090
183.0	23846
184.0	24962
