"label_id"	"anchor_x"	"anchor_y"	"anchor_z"	"bb_min_x"	"bb_min_y"	"bb_min_z"	"bb_max_x"	"bb_max_y"	"bb_max_z"	"shape_pixelsize"	"shape_surface_area"	"shape_sphericity"	"shape_mean_intensity"	"shape_st_dev_intensity"	"shape_ratio_volume"	"shape_ratio_mean_intensity"	"shape_ratio_stdev_intensity"	"shape_heterochromatin_mean_distance"	"shape_heterochromatin_st_dev_distance"	"region_vnc"
1	179.966520961621	180.942838416287	5.54579351528931	176.72	178.08	2	183.44	184	8.9	123583	128.729621482045	0.331660928208603	173.480119443995	20.0717757056278	1.1873694594159	0.875479481044969	0.987406451528709	0.25791661413005	0.233680656943858	0
2	181.60616320765	137.916186026296	11.8682974754609	178.4	135.04	7.6	186.72	141.12	18	110436	259.034881724947	0.0325056538884068	170.180574266295	13.9909227101523	0.0406293279256721	0.916253172902866	2.22933701660209	0.0262748370864927	0.0158933668424179	0
3	194.059648066937	145.284976238096	8.49847244903577	189.52	142.56	5.5	197.68	147.68	12.3	108998	116.426433091041	0.348734250103312	171.869679572082	18.2522611769159	1.45315284400347	0.895415054409065	0.950079691182889	0.27729344069595	0.244335964577965	0
4	173.129337693146	161.060243636597	12.8237802141437	169.52	158.16	10.2	176.64	163.76	15.7	124776	113.544043957107	0.491672524776619	173.178069413983	19.2621732914127	1.29869777047851	0.897235370327865	0.984678488120772	0.303213380978692	0.252112415755564	0
5	146.851984201386	187.651678474645	19.9127275148944	143.36	183.12	14.6	150.48	190.96	24.9	195207	212.557755050738	0.183310708847609	173.369530389863	20.2801219257114	0.719537573294371	0.895922410949612	1.14980189251472	0.291580766303298	0.253113422360413	0
6	169.197058919007	172.949720012985	15.3775543742899	166	170.48	12.7	171.76	175.76	18	98576	90.8511658785186	0.600292876295647	172.90451782992	21.5522875870569	1.74979697915594	0.869098225794314	0.89216075349587	0.278638409634067	0.242848877410107	0
7	202.14923034339	172.469486949867	13.5575671231092	199.28	170.96	10.3	204.4	174.08	18	61417	82.5710268100752	0.310389101228472	153.659929379165	17.0920735343558	0.044848834272402	0.761937351108988	2.24005817253983	0.027832415251852	0.0135404574031113	0
8	166.484141328473	207.063188191349	19.3125719544544	162.16	204.48	14.7	170.72	210	23.5	221668	193.225215729904	0.315520022794516	174.257964681379	18.62730409497	1.1627568151876	0.921622100679404	1.00617282781529	0.295452852265195	0.235398204737465	0
9	198.326204439572	121.82037993971	22.2802521238696	194.64	118.32	18.7	203.92	126.64	25.5	91225	169.020872913236	0.0798397272427516	164.878624041045	19.7929344786445	0.252375044341424	0.877553431511744	1.40361123794323	0.15621712467304	0.165127388834267	0
10	197.477067242578	141.977367399978	20.7460494527618	194.96	139.76	17.7	199.92	144.48	23.6	109276	90.5194665100684	0.745550313387517	175.776943589958	18.7388874406383	1.74918725111686	0.903296890103399	0.972486027526728	0.265258170951617	0.234206109849289	0
11	206.775795578019	162.691476638709	22.0457751895396	204.64	159.92	18.6	208.8	164.96	24.9	81909	83.9306537115478	0.524298177704828	172.766702733071	20.7023909363372	1.97614338543431	0.864976293872054	0.892967213337382	0.240027627166811	0.222526231861123	0
12	156.568995870944	180.648535292355	18.8193726961302	153.44	176	15.2	160.16	184.32	22.8	153546	206.344157603846	0.124311928903518	170.041382796239	18.2888463372814	0.33339354864589	0.897589890732986	1.1662092339525	0.25410953080062	0.232236549428544	0
