cilia_id	cell_id
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	21590
12	21590
13	0
14	0
15	21590
16	0
17	0
18	0
19	0
20	0
21	0
22	21910
23	21910
24	21910
25	21910
26	21910
27	0
28	0
29	21910
30	0
31	21910
32	21910
33	21594
34	0
35	21594
36	0
37	0
38	0
39	0
40	21594
41	21590
42	21590
43	21590
44	21594
45	21594
46	0
47	21594
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	21594
56	0
57	21910
58	21910
59	21910
60	21910
61	21910
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	21910
73	21910
74	21910
75	0
76	0
77	0
78	21911
79	0
80	0
81	0
82	21911
83	21911
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	21915
97	0
98	0
99	0
100	21915
101	0
102	0
103	0
104	0
105	0
106	0
107	21910
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	21915
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	21910
127	0
128	21911
129	21911
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	21915
139	0
140	0
141	21915
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	21911
151	0
152	0
153	0
154	21911
155	0
156	0
157	0
158	21915
159	0
160	0
161	0
162	21911
163	0
164	0
165	0
166	21915
167	0
168	0
169	0
170	21915
171	21915
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	21904
181	0
182	21904
183	0
184	21915
185	21915
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	22515
206	22515
207	0
208	22182
209	22515
210	22515
211	22515
212	22515
213	22515
214	22515
215	22515
216	0
217	22515
218	0
219	22515
220	22515
221	22515
222	22182
223	0
224	0
225	0
226	0
227	22515
228	22515
229	22515
230	0
231	21904
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	21915
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	22182
253	0
254	0
255	0
256	0
257	22182
258	22182
259	22182
260	0
261	22515
262	22515
263	22182
264	22515
265	22182
266	22515
267	22182
268	0
269	0
270	22699
271	0
272	0
273	0
274	0
275	0
276	22699
277	0
278	0
279	22699
280	22699
281	22699
282	0
283	22699
284	0
285	22699
286	22699
287	0
288	22182
289	22515
290	0
291	0
292	22182
293	22699
294	0
295	22699
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	22699
304	22700
305	22700
306	22700
307	0
308	22700
309	22700
310	0
311	0
312	0
313	0
314	0
315	0
316	22181
317	22181
318	22181
319	22181
320	22182
321	22182
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	22515
337	0
338	0
339	22515
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	21904
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	22699
369	0
370	22699
371	0
372	22699
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	22181
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
