label_id	clusters
1097.0	0
1115.0	1
734.0	1
1469.0	2
1494.0	3
583.0	4
1264.0	1
1567.0	5
1873.0	2
1476.0	3
1359.0	6
1547.0	1
2069.0	7
2089.0	1
2470.0	0
1523.0	3
2515.0	0
2197.0	6
2742.0	6
2731.0	2
3159.0	0
3163.0	0
3181.0	0
3165.0	0
2663.0	6
2176.0	1
3007.0	1
2850.0	1
3032.0	0
3376.0	1
2684.0	8
3085.0	2
3295.0	2
3493.0	8
3330.0	9
1718.0	10
3584.0	7
3835.0	2
3130.0	7
3990.0	2
3606.0	7
3644.0	0
4011.0	0
3647.0	5
3505.0	8
4491.0	4
4492.0	7
4327.0	7
4156.0	7
4019.0	11
4540.0	0
4985.0	7
4805.0	7
4847.0	9
5025.0	3
5255.0	2
5054.0	0
5055.0	0
5288.0	3
5076.0	10
5633.0	2
5411.0	4
2652.0	9
5696.0	5
5485.0	9
6200.0	3
6020.0	2
6566.0	3
6649.0	9
6919.0	8
6924.0	1
6682.0	6
6932.0	0
6931.0	5
6968.0	9
6713.0	3
6255.0	7
3526.0	10
6448.0	3
5518.0	0
6235.0	9
7020.0	3
6809.0	10
6610.0	7
6108.0	3
7089.0	7
7805.0	5
6418.0	9
7616.0	2
6185.0	9
5104.0	10
6553.0	10
7025.0	6
7464.0	2
7716.0	5
7540.0	5
6620.0	8
7950.0	3
7114.0	6
8148.0	5
7386.0	1
8083.0	10
8124.0	10
8109.0	3
8356.0	8
8564.0	2
7185.0	10
8809.0	5
8599.0	6
8858.0	7
8890.0	6
7424.0	10
8883.0	10
9414.0	6
10090.0	7
9913.0	10
9297.0	6
9348.0	3
10142.0	3
8821.0	6
9406.0	10
9546.0	3
9570.0	7
9240.0	10
10013.0	10
9446.0	8
10380.0	3
10809.0	4
10633.0	10
10662.0	0
10156.0	7
10464.0	6
9964.0	8
10456.0	6
10517.0	0
10766.0	10
10909.0	3
10608.0	8
11618.0	7
11037.0	2
11065.0	3
11289.0	0
10744.0	8
11544.0	3
10507.0	10
11799.0	9
11592.0	2
11434.0	8
12139.0	6
11697.0	10
11936.0	3
12137.0	2
11754.0	8
10535.0	0
10527.0	10
11783.0	8
12641.0	3
12243.0	3
12628.0	3
12681.0	5
11021.0	10
12306.0	5
11164.0	10
12393.0	5
12603.0	8
12188.0	3
12614.0	11
13115.0	10
12993.0	2
12968.0	2
13373.0	3
13079.0	10
13933.0	10
14004.0	2
13624.0	8
13003.0	10
14291.0	8
13957.0	8
14373.0	5
