label_id,VC,davids_cells,VNC
9857.0,6116.0,0,1
10610.0,6220.0,0,1
10810.0,6220.0,0,1
11000.0,5503.0,0,1
11013.0,6220.0,0,1
11213.0,6220.0,0,1
11231.0,6220.0,0,1
11400.0,6213.0,0,1
11834.0,5864.0,0,1
11837.0,5503.0,0,1
11846.0,5864.0,0,1
12035.0,6213.0,0,1
12044.0,5864.0,0,1
12062.0,5760.0,0,1
12102.0,5760.0,0,1
12231.0,6111.0,0,1
12233.0,5864.0,1,1
12234.0,5864.0,0,1
12262.0,5503.0,0,1
12461.0,5864.0,0,1
12521.0,5783.0,0,1
12643.0,5503.0,0,1
12644.0,5760.0,0,1
12862.0,5864.0,0,1
12866.0,5503.0,0,1
12868.0,5760.0,0,1
12869.0,5760.0,0,1
12878.0,5864.0,0,1
12887.0,5760.0,0,1
12888.0,5503.0,0,1
13060.0,5929.0,0,1
13270.0,6111.0,0,1
13276.0,5929.0,0,1
13508.0,6111.0,0,1
13509.0,6111.0,0,1
13548.0,6116.0,0,1
13579.0,5929.0,0,0
13713.0,5929.0,0,1
13721.0,5929.0,0,1
13728.0,6111.0,1,1
13748.0,6116.0,0,1
13795.0,5929.0,0,1
13797.0,5929.0,0,1
13799.0,5929.0,0,1
13889.0,5929.0,0,1
13890.0,5929.0,0,1
13897.0,6111.0,0,1
13917.0,5504.0,0,1
13941.0,5504.0,0,1
13981.0,0.0,1,1
14112.0,5929.0,0,1
14118.0,6111.0,0,1
14185.0,6284.0,0,1
14186.0,5929.0,0,1
14296.0,6284.0,1,1
14338.0,5929.0,0,1
14372.0,6116.0,1,1
14384.0,6284.0,0,1
14527.0,5929.0,0,1
14538.0,6284.0,0,1
14544.0,5857.0,0,1
14546.0,5857.0,1,1
14547.0,5857.0,0,1
14559.0,5987.0,1,1
14568.0,6234.0,0,1
14602.0,5929.0,1,1
14722.0,6284.0,0,1
14725.0,6284.0,0,1
14730.0,5857.0,0,1
14731.0,5849.0,1,1
14732.0,6234.0,0,1
14744.0,5910.0,0,1
14747.0,6135.0,0,1
14750.0,5987.0,0,1
14765.0,5910.0,0,1
14777.0,5539.0,1,1
14938.0,6284.0,0,1
14944.0,6135.0,1,1
14945.0,6195.0,0,1
14947.0,5539.0,0,1
14958.0,5857.0,0,1
14961.0,6135.0,0,1
14963.0,5849.0,1,1
14975.0,6130.0,0,1
14977.0,6164.0,0,1
15137.0,6195.0,0,1
15141.0,6234.0,0,1
15142.0,5539.0,0,1
15143.0,6046.0,1,1
15155.0,6195.0,0,1
15156.0,6135.0,0,1
15160.0,6176.0,0,1
15167.0,6160.0,1,1
15177.0,5539.0,0,1
15196.0,5539.0,0,1
15197.0,5929.0,0,1
