label_id	clusters	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11
1097.0	0	1	0	0	0	0	0	0	0	0	0	0	0
1115.0	1	0	1	0	0	0	0	0	0	0	0	0	0
734.0	1	0	1	0	0	0	0	0	0	0	0	0	0
1469.0	2	0	0	1	0	0	0	0	0	0	0	0	0
1494.0	3	0	0	0	1	0	0	0	0	0	0	0	0
583.0	4	0	0	0	0	1	0	0	0	0	0	0	0
1264.0	1	0	1	0	0	0	0	0	0	0	0	0	0
1567.0	5	0	0	0	0	0	1	0	0	0	0	0	0
1873.0	2	0	0	1	0	0	0	0	0	0	0	0	0
1476.0	3	0	0	0	1	0	0	0	0	0	0	0	0
1359.0	6	0	0	0	0	0	0	1	0	0	0	0	0
1547.0	1	0	1	0	0	0	0	0	0	0	0	0	0
2069.0	7	0	0	0	0	0	0	0	1	0	0	0	0
2089.0	1	0	1	0	0	0	0	0	0	0	0	0	0
2470.0	0	1	0	0	0	0	0	0	0	0	0	0	0
1523.0	3	0	0	0	1	0	0	0	0	0	0	0	0
2515.0	0	1	0	0	0	0	0	0	0	0	0	0	0
2197.0	6	0	0	0	0	0	0	1	0	0	0	0	0
2742.0	6	0	0	0	0	0	0	1	0	0	0	0	0
2731.0	2	0	0	1	0	0	0	0	0	0	0	0	0
3159.0	0	1	0	0	0	0	0	0	0	0	0	0	0
3163.0	0	1	0	0	0	0	0	0	0	0	0	0	0
3181.0	0	1	0	0	0	0	0	0	0	0	0	0	0
3165.0	0	1	0	0	0	0	0	0	0	0	0	0	0
2663.0	6	0	0	0	0	0	0	1	0	0	0	0	0
2176.0	1	0	1	0	0	0	0	0	0	0	0	0	0
3007.0	1	0	1	0	0	0	0	0	0	0	0	0	0
2850.0	1	0	1	0	0	0	0	0	0	0	0	0	0
3032.0	0	1	0	0	0	0	0	0	0	0	0	0	0
3376.0	1	0	1	0	0	0	0	0	0	0	0	0	0
2684.0	8	0	0	0	0	0	0	0	0	1	0	0	0
3085.0	2	0	0	1	0	0	0	0	0	0	0	0	0
3295.0	2	0	0	1	0	0	0	0	0	0	0	0	0
3493.0	8	0	0	0	0	0	0	0	0	1	0	0	0
3330.0	9	0	0	0	0	0	0	0	0	0	1	0	0
1718.0	10	0	0	0	0	0	0	0	0	0	0	1	0
3584.0	7	0	0	0	0	0	0	0	1	0	0	0	0
3835.0	2	0	0	1	0	0	0	0	0	0	0	0	0
3130.0	7	0	0	0	0	0	0	0	1	0	0	0	0
3990.0	2	0	0	1	0	0	0	0	0	0	0	0	0
3606.0	7	0	0	0	0	0	0	0	1	0	0	0	0
3644.0	0	1	0	0	0	0	0	0	0	0	0	0	0
4011.0	0	1	0	0	0	0	0	0	0	0	0	0	0
3647.0	5	0	0	0	0	0	1	0	0	0	0	0	0
3505.0	8	0	0	0	0	0	0	0	0	1	0	0	0
4491.0	4	0	0	0	0	1	0	0	0	0	0	0	0
4492.0	7	0	0	0	0	0	0	0	1	0	0	0	0
4327.0	7	0	0	0	0	0	0	0	1	0	0	0	0
4156.0	7	0	0	0	0	0	0	0	1	0	0	0	0
4019.0	11	0	0	0	0	0	0	0	0	0	0	0	1
4540.0	0	1	0	0	0	0	0	0	0	0	0	0	0
4985.0	7	0	0	0	0	0	0	0	1	0	0	0	0
4805.0	7	0	0	0	0	0	0	0	1	0	0	0	0
4847.0	9	0	0	0	0	0	0	0	0	0	1	0	0
5025.0	3	0	0	0	1	0	0	0	0	0	0	0	0
5255.0	2	0	0	1	0	0	0	0	0	0	0	0	0
5054.0	0	1	0	0	0	0	0	0	0	0	0	0	0
5055.0	0	1	0	0	0	0	0	0	0	0	0	0	0
5288.0	3	0	0	0	1	0	0	0	0	0	0	0	0
5076.0	10	0	0	0	0	0	0	0	0	0	0	1	0
5633.0	2	0	0	1	0	0	0	0	0	0	0	0	0
5411.0	4	0	0	0	0	1	0	0	0	0	0	0	0
2652.0	9	0	0	0	0	0	0	0	0	0	1	0	0
5696.0	5	0	0	0	0	0	1	0	0	0	0	0	0
5485.0	9	0	0	0	0	0	0	0	0	0	1	0	0
6200.0	3	0	0	0	1	0	0	0	0	0	0	0	0
6020.0	2	0	0	1	0	0	0	0	0	0	0	0	0
6566.0	3	0	0	0	1	0	0	0	0	0	0	0	0
6649.0	9	0	0	0	0	0	0	0	0	0	1	0	0
6919.0	8	0	0	0	0	0	0	0	0	1	0	0	0
6924.0	1	0	1	0	0	0	0	0	0	0	0	0	0
6682.0	6	0	0	0	0	0	0	1	0	0	0	0	0
6932.0	0	1	0	0	0	0	0	0	0	0	0	0	0
6931.0	5	0	0	0	0	0	1	0	0	0	0	0	0
6968.0	9	0	0	0	0	0	0	0	0	0	1	0	0
6713.0	3	0	0	0	1	0	0	0	0	0	0	0	0
6255.0	7	0	0	0	0	0	0	0	1	0	0	0	0
3526.0	10	0	0	0	0	0	0	0	0	0	0	1	0
6448.0	3	0	0	0	1	0	0	0	0	0	0	0	0
5518.0	0	1	0	0	0	0	0	0	0	0	0	0	0
6235.0	9	0	0	0	0	0	0	0	0	0	1	0	0
7020.0	3	0	0	0	1	0	0	0	0	0	0	0	0
