label_id	VCName	ache	actub	allcr1	allcr2	anpra	anprb	ap2	arx	ascb	asci	ascii	ash	asicalpha	ato2	baiap	barh1	beta3	bmpr1	brn124	brn3a	bsx	cal2	calmodulin	catl	chat	chx10	cnga	coe	dach	dbhlike	dbx1	delta	dlx	dopard2	edu3to4at6dpf	edu42to48	edu4to5at6dpf	edu5to6at6dpf	elav	pgam	upp	unc22	ndus1	odo2	fxl21	ryr2	ppib	co1a1	synaptopodin	usp9x	jkip3	ccvd	leucin-rich	grik3	mthfsd	rpc2	snd1	calexcitin2	boule-like	junctophilin1	nucleolin	nb5r3	psmf1	bca1	patched	non-muscle-mhc	noe1	eve	eya	fezf	for	foxd3	foxn4	fvri	gad	gata123	gcb	gcd	glt1	glyt	gnrh	gnrhr	gpb	gpcr2	gpcr203	gpcr209	gpcr210	gpcr32	gppcr21	grm7	gsx	gucy	hand	hb9	hcn1	hnf6	hox1	hox4	hox7	hr38	irx6	irx2546	isl	kv33b	kv33e	lbx1b	lhx15	lhx2	lhx3	lhx6	lmo4	lmx1	loc28250	loc5285ct	loc77859	loc8913nt	maf	mecom	mhcl4	mitf	mrlc2	msx	munc22	muncb	nachr	neog	netrin	neurod	ngb	ngn	nk21	nk22	nk6	nmdar	globin-like	olm2a	cepu1	nov2	nov29	tmtc3	gdpd1	kanl3	stathmin	npr1a	ntrps	olig	otp	p56	paraxis	pax258	pax6	pcdh15	pde9	pdf	pea3	phc2	phox2b	pikachu	pitxb	plcg	prdm8	prox	ptf1	Pty2	rab3	rims	robo	rx	scn8aa	sema2	sert	sim1	six12	six4	slit	sox2	sox4	soxb12	soxb2	sp8	syt	syt12	syt7	syta	tal	tbh	tbx20	th	timp	tlx	trk	trph	trpv	trpv4	trpv5	twist	uncs	uncx	vacht	vat1l	vegfr	vglut	wnt16	wnt5	allglands	crypticsegment	head	MB	lateralectoderm	pygidium	restofanimal	foregut	vnc
1	MHCL4_0002	0.944444444444445	0	0	0	0	0	0.997150997150997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512820512820513	0.591168091168091	0.710826210826211	0.89031339031339	0	0	0	0	0.947293447293447	0	0	0	0.964387464387464	1	0	0	1	0.992877492877493	1	0.584045584045584	0.928774928774929	1	0	0.985754985754986	0	0	0	0	0.92022792022792	1	0	0	0.621082621082621	0	0	0.935897435897436	0.784900284900285	0	0	0	0	0	0	0	0.796296296296296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.690883190883191	0	0	0	0	0	0	0.683760683760684	0	0.985754985754986	0	0	0	0	0	1	0	0	0	0	0	0	0	0.817663817663818	0	0.792022792022792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0	0	0	0	0.974358974358974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997150997150997	1	0	0	0	0	0	0	0	0.532763532763533	0	0.937321937321937	0	0	0	0	0	0.927350427350427	0	0	0	0.635327635327635	0	0	0	0	0	0	0	0	0	0	0.904558404558405	0	0	0.776353276353276	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2	MHCL4_0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528120713305899	0	0	0.707818930041152	0	0	0.976680384087791	0	0	0	0	0	0	0	0	0	1	0.967078189300412	0.665294924554184	0	0.513031550068587	0	0	0	0	0	0	0	0	0	0	0	0	0.813443072702332	0	0.765432098765432	0.559670781893004	0	0	0	0	0	0.711934156378601	0	0	0	0	0	0	0	0.573388203017833	0	0	0	0	0	0	0	0	0	0.84636488340192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.768175582990398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510288065843621	0	0	0.998628257887517	0	0	0.580246913580247	1	0	0	0	0	0	0	0	0	0	0	0	0.795610425240055	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998628257887517	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3	MHCL4_0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613168724279835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.804526748971193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940329218106996	0	0	0	0	0.890946502057613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.541152263374486	0	0	0	0	0.522633744855967	0	0	0	0	0	0	0	0	0	0	0	0.604938271604938	0	0	0	0	0	0	0.732510288065844	0	0	0	0	0	0	0	0	0.695473251028807	0	0	0	0	0	0	0.777777777777778	0	0	0	0	0	0	0	0
4	MHCL4_0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917107583774251	0	0	0	0	0	0.611992945326279	0	0	0.626102292768959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874779541446208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763668430335097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991181657848325	0	0	0.876543209876543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940035273368607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MHCL4_0015	0.858585858585859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95959595959596	0.764309764309764	0	0	0	0	0	0	0	0	0.739057239057239	0.976430976430976	0	0	0	0	0.744107744107744	0	0	0.823232323232323	0	0	0	0	0	0	0	0	0	0.880471380471381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984848484848485	0	0	0	0	0	0	0.654882154882155	0	0	0	0	0	0	0	1	0	0	0.739057239057239	0	0	0	0	0.81986531986532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575757575757576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686868686868687	0.51010101010101	0	0	0.988215488215488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.890572390572391	0	0	0	0	0	0	0	0	0	0	0.816498316498317	0	0	0.880471380471381	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6	MHCL4_0017	0.98559670781893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905349794238683	0.987654320987654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868312757201646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915637860082305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862139917695473	0	0	0	0	0	0.522633744855967	0	0.744855967078189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790123456790124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958847736625514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510288065843622	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	MHCL4_0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991111111111111	0.745185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967407407407407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.826666666666667	0	0	0	0	0	0	0	0	0	0	0.577777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675555555555556
8	MHCL4_0020	0.545524691358025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896604938271605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.589506172839506	0.69212962962963	0.790123456790123	0.563271604938272	0.525462962962963	0	0.636574074074074	0	0	0.917438271604938	0	0	0	0	0	0	0	0	0.873456790123457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.949845679012346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MHCL4_0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532407407407407	0	0.916666666666667	0	0	0	0.699074074074074	0	0	0	0	0.837962962962963	0	0	0	0	0	0	0.763888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.527777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MHCL4_0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813813813813814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.605605605605606	0	0	0	0	0	0	0	0	0	0.864864864864865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.806806806806807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547547547547548	0	0	0	0	0	0	0	0	0	0	0	0	0.524524524524524	0	0	0	0	0.758758758758759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	MHCL4_0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0.944444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775720164609054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.932098765432099	0	0	0	0	0.890946502057613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.886831275720165	0	0	0	0	0.709876543209877	0	0	0	0	0.639917695473251	0	0	0.995884773662551	0	0	0	0	0.619341563786008	0	0	0	0	0	0	0	0	0	0	0	0.611111111111111	0	0	0	0	0	0	0.761316872427984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	MHCL4_0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744855967078189	0	0	0	0	0	0	0	0	0	0	0.953360768175583	0.950617283950617	0	0.921810699588477	0	0.740740740740741	0	0	0.786008230452675	0	0	0.991769547325103	0	0	0.713305898491084	0	0	0.935528120713306	0	0	0	0	0	0	0.984910836762689	0	0	0.998628257887517	0	0	0	0	0	0	0	0	0	0	0	0.969821673525377	0	0	0	0	0	0	0.582990397805213	0	0	0.938271604938272	0	0	0	0	0	0.927297668038409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.957475994513032	0	0.912208504801097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931412894375857	0	0	0	0	0	0	0	0.998628257887517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.747599451303155	0	0	0	0	0	0	0.972565157750343	0	0	0	0	0	0	0	0	0	0
13	MHCL4_0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518518518518518	0	0	0	0	0	0.971851851851852	0.78962962962963	0	0.964444444444444	0	0.884444444444444	0	0	0.908148148148148	0	0	0.651851851851852	0	0	0	0	0	0.995555555555556	0	0.625185185185185	0	0	0	0	0.888888888888889	0.571851851851852	0	0.918518518518519	0	0	0	0	0	0	0	0	0	0	0	0.804444444444444	0	0	0	0	0	0	0	0	0	0.973333333333333	0	0	0.847407407407407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.911111111111111	0	0.868148148148148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54962962962963	0	0	0	0	0.902222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.874074074074074	0	0	0	0	0	0	0	0	0	0
14	MHCL4_0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864994026284349	0	0	0	0.825567502986858	0	0	0	0	0.935483870967742	0	0	0	0	0.580645161290323	0.712066905615293	0	1	0	1	0	0	0.646356033452808	0	0	0	0	0	0	0	0	0	0	0	0.538829151732377	0	0	0.714456391875747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859020310633214	0.977299880525687	0	0	0	0	0	0	0	0	0	0	0	0	0.640382317801673	0.982078853046595	0	0	0.643966547192354	0	0	0	0	0	0.992831541218638	0	0	0	0.632019115890084	0	0.765830346475508	0	0	0	0	0	0	0	0.829151732377539	0.893667861409797	0	0	0	0	0	0	0	0.866188769414576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817204301075269	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.997610513739546	0	0	0	0.600955794504182	0.990442054958184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.960573476702509	0	0	0	0.567502986857826	0	0	0	0	0.80884109916368	0.671445639187575	0	0	0	0	0	0.775388291517324	0.634408602150538	0	0	0	0	1	0	0	0	0	0	0
15	MHCL4_0045	0.723311546840959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.747276688453159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.662309368191721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941176470588235	0	0.633986928104575	0	0	0	0.893246187363835	0	0	0.55119825708061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	MHCL4_0054	0.740740740740741	0	0	0	0	0	0	0	0.580896686159844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766081871345029	0	0.709551656920078	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619883040935672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649122807017544	0	0	0	0	0.549707602339181	0.962962962962963	0	0	0.758284600389864	0	0	0.941520467836257	0	0	0	0	0	0	0	0	0	0.729044834307992	0	1	0	0	0	0	0	0	0	0	0	0	0.541910331384016	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0.832358674463938	0	1	0	0	0	0	0	0	0	0	0	0	0.791423001949318	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.884990253411306	0	0	0.781676413255361	0	0	0	0	0	0	0	0	0	0	0.861598440545809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
