label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	cell_id	nucleus_id
148.0	209.2	190.56	63.3	190.96	182.4	63.3	211.36	218.72	84.7	537.0	1667.0	0.0
149.0	215.36	194.16	61.9	191.12	179.2	60.7	215.52	218.72	84.2	1050.0	1667.0	0.0
151.0	192.08	193.44	73.0	190.96	191.84	73.0	207.92	218.8	86.7	250.0	1667.0	0.0
152.0	202.16	175.52	72.0	198.08	171.12	63.6	237.76	194.48	83.6	775.0	1667.0	0.0
154.0	213.68	191.44	63.9	201.6	172.24	63.7	238.0	191.68	82.3	492.0	1667.0	0.0
157.0	205.68	172.16	73.7	203.92	162.72	71.6	238.8	172.56	91.8	450.0	7617.0	0.0
158.0	207.92	170.24	72.0	207.28	160.64	71.8	235.92	173.36	91.7	394.0	1667.0	0.0
160.0	200.32	139.6	45.4	180.4	121.92	10.0	207.2	141.6	52.0	431.0	2949.0	0.0
162.0	206.88	141.84	48.2	181.36	124.56	9.9	209.76	144.4	52.7	565.0	3667.0	0.0
164.0	205.52	139.92	48.6	182.64	123.6	10.1	208.48	142.0	60.3	606.0	1667.0	0.0
166.0	199.76	137.12	47.0	180.0	125.92	6.9	205.44	142.0	57.5	599.0	2949.0	0.0
167.0	209.52	144.48	47.2	183.36	124.8	9.9	209.76	144.56	47.3	424.0	3667.0	0.0
169.0	199.04	143.68	42.1	187.44	137.28	11.1	202.48	143.76	42.2	138.0	2949.0	0.0
171.0	186.16	182.96	61.9	174.08	129.6	8.7	208.8	193.68	66.9	938.0	1667.0	0.0
173.0	207.04	147.28	54.0	182.48	135.84	8.4	211.12	154.88	57.8	722.0	1667.0	0.0
176.0	196.96	144.32	48.5	182.48	135.36	5.4	203.92	146.4	53.3	624.0	1667.0	0.0
178.0	206.72	147.84	52.7	177.68	121.2	6.6	207.92	186.64	63.9	1074.0	1667.0	0.0
179.0	172.72	193.92	55.8	136.32	163.28	11.6	182.0	194.64	63.5	611.0	1667.0	0.0
181.0	161.6	187.76	43.7	139.04	167.52	6.9	166.64	191.6	52.0	718.0	1667.0	0.0
183.0	161.28	188.64	46.3	140.48	167.12	14.0	164.64	189.04	48.4	733.0	1667.0	0.0
187.0	176.08	189.76	56.7	136.16	164.96	11.0	177.12	191.68	57.4	752.0	1667.0	0.0
