label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
0.0	159.8423256714017	152.91200902028584	93.08611646596415	81.92	0.0	0.0	245.6	245.6	204.60000000000002	766585062.0
1.0	189.96425776699328	136.73553109657746	27.474862099969386	167.36	115.68	3.4000000000000004	214.72	157.92000000000002	55.800000000000004	6048222.0
2.0	155.64861031881537	177.01445566140842	25.210276475653686	134.88	155.52	3.6	179.36	203.52	55.800000000000004	6008558.0
3.0	139.71681692534148	197.7833514425551	69.77342072827808	101.28	172.32	55.400000000000006	158.08	238.4	85.0	2674144.0
4.0	200.97916913044276	121.61711932774746	71.96405696007042	148.0	102.24000000000001	57.2	226.56	138.56	85.80000000000001	2716359.0
5.0	182.64996509768864	149.4504584357199	40.01987216641092	164.96	131.84	14.600000000000001	203.20000000000002	162.72	53.800000000000004	871289.0
6.0	166.2033087766585	169.4727247430573	39.30735332213678	148.8	155.04	19.200000000000003	178.24	182.24	51.0	687118.0
7.0	217.15232551397483	174.85031803216174	59.443252821096465	181.92000000000002	140.32	8.8	239.20000000000002	205.28	106.4	12973059.0
8.0	198.39249579571697	197.7294905068421	56.37710926216703	169.6	164.8	9.4	228.16	223.36	104.0	12726903.0
9.0	213.8488991512774	160.9742139116994	19.41115626059183	84.32000000000001	63.84	0.0	236.0	207.04	204.60000000000002	3180546.0
10.0	186.73073045386784	199.61887540333825	20.080371415000272	165.28	176.0	0.0	205.76	219.36	53.6	3052650.0
11.0	143.13718609417768	183.21834775110398	35.086071150587266	128.64000000000001	152.48	6.4	175.68	212.16	116.80000000000001	3335236.0
12.0	189.73028131414347	121.96341954211437	38.69112109066612	160.16	108.32000000000001	7.0	218.72	144.48	64.4	3293400.0
13.0	174.5741596565184	159.75184604769376	68.27688172711636	142.88	127.68	25.6	201.12	188.96	94.4	6674015.0
14.0	181.89964379082906	164.15049526206832	15.811411803567076	157.44	134.56	0.0	216.32	189.6	48.2	2727667.0
15.0	182.70363542710123	216.46590108290653	70.68033418147034	166.4	203.84	53.2	197.92000000000002	227.84	93.0	1159011.0
16.0	232.5661676709743	155.28453917515264	70.15062033942466	215.36	140.32	56.6	243.52	173.92000000000002	84.80000000000001	1120838.0
17.0	166.3340315582181	206.0247026280705	49.1048363204583	131.84	170.72	6.4	200.16	228.64000000000001	88.60000000000001	10295575.0
18.0	218.92243442089392	143.51645055237688	49.656018385497575	184.32	116.96000000000001	9.0	242.88	168.64000000000001	88.80000000000001	9508364.0
